#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,山田 利博,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Chichibu (CC-AT1).,,,,,,,,,,,,,
#,SITE NAME,サイト名,秩父,,,,,,,,,,,,,
#,PLOT NAME,調査区名,秩父矢竹沢（スギ密度試験地）,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,CC-AT1,,,,,,,,,,,,,
#,PLOT SIZE,面積,0.8826ha (in total),,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,
#/note,20070602,Data was arranged.,,,,,,,,,,,,,,
#,20090521,CC-AT1 is composed of three plots with different thinning treatment. Thinning was conducted in 1999.,,,,,,,,,,,,,,
#,,"A: No thinning (0.2387ha), B:intensive thinning (0.3393ha), C: moderate thinning (0.3046ha).",,,,,,,,,,,,,,
#,,元のメッシュコード（plot記号)はmesh_originalに、tag_noを(メッシュコード)-(タグNo)にした,,,,,,,,,,,,,,
#,20101116,2008年に間伐多数->死亡（d)とした,,,,,,,,,,,,,,
#,,note09およびnote14の＊はメジャーによる周囲長，それ以外は輪尺による2方向の平均胸高直径から算出．,,,,,,,,,,,,,,
#,20171101,公開データのためのエラーチェック（日野）,,,,,,,,,,,,,,
#,,"mesh_xcord, mesh_ycord, stem_xcor, stem_ycordがnaになっているのでサイトに問い合わせ→労力的に難しいとの返事を頂く",,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh04","gbh09","gbh14","note04","note09","note14","s_date04","s_date09","s_date14","mesh_original","dl04","dl09","dl14","rec04","rec09","rec14","error04","error09","error14"
NA,NA,"A-A-44","A-A-44",NA,NA,"スギ",129.12,136.97,148.6,"gbh1999=126.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-45","A-A-45",NA,NA,"スギ",NA,NA,NA,"gbh1999=71.8.",NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-46","A-A-46",NA,NA,"スギ",134.46,141.84,148.44,"gbh1999=130.4.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-47","A-A-47",NA,NA,"スギ",99.9,102.42,105.24,"gbh1999=98.2.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-48","A-A-48",NA,NA,"スギ",NA,NA,NA,NA,NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-49","A-A-49",NA,NA,"スギ",NA,NA,NA,"gbh1999=73.7.",NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-50","A-A-50",NA,NA,"スギ",98.33,99.59,102.42,"gbh1999=97.5.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-51","A-A-51",NA,NA,"スギ",94.72,NA,NA,"gbh1999=93.3.","間伐（2008年度）",NA,20041027,20090308,20141127,"A",0,1,2,0,0,0,0,0,0
NA,NA,"A-A-52","A-A-52",NA,NA,"スギ",NA,NA,NA,NA,NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-53","A-A-53",NA,NA,"スギ",139.96,143.41,148.13,"gbh1999=134.1.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-54","A-A-54",NA,NA,"スギ",136.35,143.57,150.33,"gbh1999=134.6；H=28.8.H04=28.9.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-55","A-A-55",NA,NA,"スギ",136.03,140.43,148.28,"gbh1999=134.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-56","A-A-56",NA,NA,"スギ",127.39,131.32,139.17,"gbh1999=123.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-57","A-A-57",NA,NA,"スギ",NA,NA,NA,NA,NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-58","A-A-58",NA,NA,"スギ",115.45,NA,NA,"gbh1999=112.6.","間伐（2008年度）",NA,20041027,20090308,20141127,"A",0,1,2,0,0,0,0,0,0
NA,NA,"A-A-59","A-A-59",NA,NA,"スギ",131.16,137.13,144.83,"gbh1999=124.9.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-60","A-A-60",NA,NA,"スギ",89.85,NA,NA,"gbh1999=88.9.","間伐（2008年度）",NA,20041027,20090308,20141127,"A",0,1,2,0,0,0,0,0,0
NA,NA,"A-A-61","A-A-61",NA,NA,"スギ",NA,NA,NA,NA,NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-62","A-A-62",NA,NA,"スギ",NA,NA,NA,NA,NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-63","A-A-63",NA,NA,"スギ",144.36,NA,NA,"gbh1999=140.7.","間伐（2008年度）",NA,20041027,20090308,20141127,"A",0,1,2,0,0,0,0,0,0
NA,NA,"A-A-64","A-A-64",NA,NA,"スギ",86.24,89.06,90.95,"gbh1999=85.6.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-65","A-A-65",NA,NA,"スギ",90.32,NA,NA,"gbh1999=88.","間伐（2008年度）",NA,20041027,20090308,20141127,"A",0,1,2,0,0,0,0,0,0
NA,NA,"A-A-66","A-A-66",NA,NA,"スギ",79.64,NA,NA,"gbh1999=79.6.","間伐（2008年度）",NA,20041027,20090308,20141127,"A",0,1,2,0,0,0,0,0,0
NA,NA,"A-A-67","A-A-67",NA,NA,"スギ",NA,NA,NA,NA,NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-68","A-A-68",NA,NA,"スギ",104.62,109.17,113.25,"gbh1999=98.6.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-69","A-A-69",NA,NA,"スギ",106.97,111.53,118.6,"gbh1999=102.1.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-70","A-A-70",NA,NA,"スギ",NA,NA,NA,NA,NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-71","A-A-71",NA,NA,"スギ",NA,NA,NA,NA,NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-72","A-A-72",NA,NA,"スギ",NA,NA,NA,"枯損",NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-73","A-A-73",NA,NA,"スギ",NA,NA,NA,NA,NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-74","A-A-74",NA,NA,"スギ",88.75,91.26,95.03,"gbh1999=87.8.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-75","A-A-75",NA,NA,"スギ",NA,NA,NA,"gbh1999=53.2.",NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-76","A-A-76",NA,NA,"スギ",70.21,NA,NA,"gbh1999=70.2.","間伐（2008年度）",NA,20041027,20090308,20141127,"A",0,1,2,0,0,0,0,0,0
NA,NA,"A-A-77","A-A-77",NA,NA,"スギ",NA,NA,NA,"枯損",NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-78","A-A-78",NA,NA,"スギ",143.57,150.8,158.65,"gbh1999=145.1.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-79","A-A-79",NA,NA,"スギ",NA,NA,NA,NA,NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-80","A-A-80",NA,NA,"スギ",NA,NA,NA,"gbh1999=74.3.",NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-81","A-A-81",NA,NA,"スギ",100.69,NA,NA,"gbh1999=100.5.","間伐（2008年度）",NA,20041027,20090308,20141127,"A",0,1,2,0,0,0,0,0,0
NA,NA,"A-A-82","A-A-82",NA,NA,"スギ",NA,NA,NA,"gbh1999=71.6.",NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-83","A-A-83",NA,NA,"スギ",170.12,182.84,194.31,"gbh1999=163.2；H=33.2.H04=35.7.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-84","A-A-84",NA,NA,"スギ",NA,NA,NA,NA,NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-85","A-A-85",NA,NA,"スギ",80.58,NA,NA,"gbh1999=78.9；H=27.H04=29.","間伐（2008年度）",NA,20041027,20090308,20141127,"A",0,1,2,0,0,0,0,0,0
NA,NA,"A-A-86","A-A-86",NA,NA,"スギ",NA,NA,NA,NA,NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-87","A-A-87",NA,NA,"スギ",NA,NA,NA,NA,NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-88","A-A-88",NA,NA,"スギ",NA,NA,NA,"間伐","間伐（2008年度）",NA,20041027,20090308,20141127,"A",0,1,2,-1,-1,-1,0,0,0
NA,NA,"A-A-89","A-A-89",NA,NA,"スギ",101.47,105.24,108.38,"gbh1999=99.3.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-90","A-A-90",NA,NA,"スギ",NA,NA,NA,NA,NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-91","A-A-91",NA,NA,"スギ",NA,NA,NA,NA,NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-92","A-A-92",NA,NA,"スギ",95.19,96.6,96.92,"gbh1999=95.7.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-93","A-A-93",NA,NA,"スギ",105.56,NA,NA,"gbh1999=103.2.","間伐（2008年度）",NA,20041027,20090308,20141127,"A",0,1,2,0,0,0,0,0,0
NA,NA,"A-A-94","A-A-94",NA,NA,"スギ",119.38,124.56,129.75,"gbh1999=115.9.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-95","A-A-95",NA,NA,"スギ",88.44,92.99,96.45,"gbh1999=86.1.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-96","A-A-96",NA,NA,"スギ",100.85,NA,NA,"gbh1999=99.","間伐（2008年度）",NA,20041027,20090308,20141127,"A",0,1,2,0,0,0,0,0,0
NA,NA,"A-A-97","A-A-97",NA,NA,"スギ",108.07,109.8,117.02,"gbh1999=103.8.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-98","A-A-98",NA,NA,"スギ",92.52,NA,NA,"gbh1999=92.4.","間伐（2008年度）",NA,20041027,20090308,20141127,"A",0,1,2,0,0,0,0,0,0
NA,NA,"A-A-99","A-A-99",NA,NA,"スギ",72.57,NA,NA,"gbh1999=71.9.","間伐（2008年度）",NA,20041027,20090308,20141127,"A",0,1,2,0,0,0,0,0,0
NA,NA,"A-A-100","A-A-100",NA,NA,"スギ",156.29,162.89,170.59,"gbh1999=148.3.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-101","A-A-101",NA,NA,"スギ",85.92,NA,NA,"gbh1999=85.6.","間伐（2008年度）",NA,20041027,20090308,20141127,"A",0,1,2,0,0,0,0,0,0
NA,NA,"A-A-102","A-A-102",NA,NA,"スギ",116.71,121.74,124.56,"gbh1999=115.6.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-103","A-A-103",NA,NA,"スギ",133.05,139.17,143.41,"gbh1999=127.9.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-104","A-A-104",NA,NA,"スギ",NA,NA,NA,"枯損",NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-105","A-A-105",NA,NA,"スギ",135.87,144.51,150.95,"gbh1999=130.4.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-106","A-A-106",NA,NA,"スギ",90.32,NA,NA,"gbh1999=89.5.","間伐（2008年度）",NA,20041027,20090308,20141127,"A",0,1,2,0,0,0,0,0,0
NA,NA,"A-A-107","A-A-107",NA,NA,"スギ",111.06,115.14,122.99,"gbh1999=105.1.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-108","A-A-108",NA,NA,"スギ",NA,NA,NA,NA,NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-109","A-A-109",NA,NA,"スギ",97.39,NA,NA,"gbh1999=95.5.","間伐（2008年度）",NA,20041027,20090308,20141127,"A",0,1,2,0,0,0,0,0,0
NA,NA,"A-A-110","A-A-110",NA,NA,"スギ",NA,NA,NA,"枯損",NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-111","A-A-111",NA,NA,"スギ",96.13,NA,NA,"gbh1999=95.5.","間伐（2008年度）",NA,20041027,20090308,20141127,"A",0,1,2,0,0,0,0,0,0
NA,NA,"A-A-112","A-A-112",NA,NA,"スギ",106.97,109.01,113.1,"gbh1999=104.9.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-113","A-A-113",NA,NA,"スギ",NA,NA,NA,NA,NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-114","A-A-114",NA,NA,"スギ",106.97,111.06,111.37,"gbh1999=105.4.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-115","A-A-115",NA,NA,"スギ",174.99,179.23,188.65,"gbh1999=167.9；H=34.H04=33.6.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-116","A-A-116",NA,NA,"スギ",NA,NA,NA,NA,NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-117","A-A-117",NA,NA,"スギ",123.46,128.96,132.89,"gbh1999=121.3.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-118","A-A-118",NA,NA,"スギ",120.01,124.41,126.13,"gbh1999=116.7.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-119","A-A-119",NA,NA,"スギ",NA,NA,NA,"間伐",NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-120","A-A-120",NA,NA,"スギ",NA,NA,NA,NA,NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-121","A-A-121",NA,NA,"スギ",NA,NA,NA,"gbh1999=67.5.",NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-122","A-A-122",NA,NA,"スギ",NA,NA,NA,NA,NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-123","A-A-123",NA,NA,"スギ",136.5,144.67,150.48,"gbh1999=134.1.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-124","A-A-124",NA,NA,"スギ",91.73,NA,NA,"gbh1999=89.4.","間伐（2008年度）",NA,20041027,20090308,20141127,"A",0,1,2,0,0,0,0,0,0
NA,NA,"A-A-125","A-A-125",NA,NA,"スギ",99.59,NA,NA,"gbh1999=99.","間伐（2008年度）",NA,20041027,20090308,20141127,"A",0,1,2,0,0,0,0,0,0
NA,NA,"A-A-126","A-A-126",NA,NA,"スギ",91.73,93.46,96.45,"gbh1999=90.2.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
