#/log,DATA CREATED,データ作成日,180320,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,(西村尚之,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Sannoko (SN-EC1）.,,,,,,,,,,,
#,SITE NAME,サイト名,三之公（奈良県川上村三之公温帯針葉樹林）,,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,,
#,PLOT CODE,調査区コード,SN-EC1,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,
#/note,,gbh（t+1）-gbh(t)>6　もしくは<−3は測定間違いとする,,,,,,,,,,,,
#,20080702,データ成形（石原正恵）,,,,,,,,,,,,
#,20101116,tag=YE623重複。同一幹の可能性あり。-> -1 -2をつけた,,,,,,,,,,,,
#,20150216,tag=YE623重複の一方を削除,,,,,,,,,,,,
#,,番号形式変更（BをB_に変更）,,,,,,,,,,,,
#,,区画境界数値変更（10を9.99に変更）,,,,,,,,,,,,
#,,note07_14は、2003年からの備考を2014年に追記したもの,,,,,,,,,,,,
#,,note14_1は2014年のタグ変更に関する記録,,,,,,,,,,,,
#,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh07","gbh14","note07","note07_14","note14","note14_1","s_date07","s_date14","dl07","dl14","rec07","rec14","error07","error14"
0,10,"WA15","WA15",5.5,3.3,"サカキ",77.4,78.2,NA,NA,NA,NA,"20080225",20141122,0,0,0,0,0,0
0,10,"YA202","WA14",2.4,5.4,"ヒメシャラ",74,75.5,NA,NA,NA,"番号張替","20080225",20141122,0,0,0,0,0,0
0,10,"YA204","WA20",2.5,5.5,"サカキ",18.5,19,NA,NA,NA,"番号張替","20080225",20141122,0,0,0,0,0,0
0,10,"WA24","WA24",4,5.6,"ウラジロガシ",162.4,NA,"ウロで縮む","03:H=120 WA29YE83同株　ウロ, 08:ウロで縮む","立枯",NA,"20080225",20141122,0,1,0,0,0,0
0,10,"WA29","WA24",4,5.6,"ウラジロガシ",28.6,29.4,NA,"03:WA24YE83同株",NA,NA,"20080225",20141122,0,0,0,0,0,0
0,10,"YE83","WA24",4,5.6,"ウラジロガシ",34.4,NA,NA,"03:WA24,29同株","立枯",NA,"20080225",20141122,0,1,0,0,0,0
0,10,"YA205","WA21",0,7,"サカキ",31.2,32.4,NA,"08:G03入力ミス修正済",NA,"番号張替","20080225",20141122,0,0,0,0,0,0
0,10,"YA207","WA27",7.5,7.2,"ツクバネガシ",21.2,23.4,NA,NA,NA,"番号張替","20080225",20141122,0,0,0,0,0,0
0,10,"YA209","WA116",9.7,7.6,"ツクバネガシ",17.9,17.5,NA,"03:H=120",NA,"番号張替","20080225",20141122,0,0,0,0,0,0
0,10,"WA26","WA26",6.5,7.9,"サカキ",89,89.3,NA,NA,NA,NA,"20080225",20141122,0,0,0,0,0,0
0,10,"YA206","WA22",1.3,8,"サカキ",20.5,21.5,NA,"08:G03入力ミス修正済",NA,"番号張替","20080225",20141122,0,0,0,0,0,0
0,10,"WA117","WA117",8.9,8,"ウラジロガシ",57.2,59.5,NA,"03:WA118,120同株",NA,NA,"20080225",20141122,0,0,0,0,0,0
0,10,"WA118","WA117",8.9,8,"ウラジロガシ",24.1,24.2,NA,"03:WA117,120同株",NA,NA,"20080225",20141122,0,0,0,0,0,0
0,10,"WA120","WA117",8.9,8,"ウラジロガシ",17.5,17.6,NA,"03:WA117,118同株",NA,NA,"20080225",20141122,0,0,0,0,0,0
0,10,"YA208","WA119",9.1,8.1,"ヤブツバキ",45.5,45.5,NA,NA,NA,"番号張替","20080225",20141122,0,0,0,0,0,0
0,10,"WA25","WA25",4.8,8.7,"ヤブツバキ",24.8,25.6,NA,"03:H=110ウロ下",NA,NA,"20080225",20141122,0,0,0,0,0,0
0,10,"WA121","WA121",9.7,9.2,"オオモミジ",93.5,97.9,NA,"03:ギャップに向かって花が付く","樹種修正済","樹種訂正","20080225",20141122,0,0,0,0,0,0
0,10,"WA23","WA23",4,9.4,"モミ",339.2,346,NA,"03:ツルなし",NA,NA,"20080225",20141122,0,0,0,0,0,0
0,20,"WA28","WA28",6.2,1.4,"サカキ",16.4,NA,NA,NA,"立枯",NA,"20080225",20141122,0,1,0,0,0,0
0,20,"WA30","WA30",5.8,2,"サカキ",53.3,55.4,"WA30,31合体測定","03:先折れ, 08:WA30,31合体測定","YA210といっしょに測定",NA,"20080225",20141122,0,0,0,0,0,0
0,20,"B_206","WA33",0.8,3.8,"ヤブツバキ",32,33.7,NA,NA,NA,"番号張替","20080225",20141122,0,0,0,0,0,0
0,20,"WA32","WA32",3.7,4.2,"ヤブツバキ",75.8,75.9,NA,NA,NA,NA,"20080225",20141122,0,0,0,0,0,0
0,20,"YA212","WA34",5.1,5.4,"ムクロジ",65.7,74.7,NA,NA,NA,"番号張替","20080225",20141122,0,0,0,0,0,0
0,20,"WA35","WA35",7.4,5.8,"サカキ",36.7,38.5,NA,NA,NA,NA,"20080225",20141122,0,0,0,0,0,0
0,20,"WA39","WA39",1.9,6,"サカキ",18.9,19.3,NA,NA,NA,NA,"20080225",20141122,0,0,0,0,0,0
0,20,"B_207","WA40",1,7.2,"ユズリハ",48,52.8,NA,NA,NA,"番号張替","20080225",20141122,0,0,0,0,0,0
0,20,"YA213","WA36",4.6,9.3,"ツクバネガシ",31.5,31.6,NA,"03:WA36-38同株",NA,"番号張替","20080225",20141122,0,0,0,0,0,0
0,20,"YA214","WA36",4.6,9.3,"ツクバネガシ",25.5,26.9,NA,"03:WA36-38同株",NA,"番号張替","20080225",20141122,0,0,0,0,0,0
0,20,"YA215","WA36",4.6,9.3,"ツクバネガシ",25.5,26,NA,"03:WA36-38同株",NA,"番号張替","20080225",20141122,0,0,0,0,0,0
0,20,"B_208","WA41",7.2,9.8,"ヤブツバキ",18.5,NA,NA,"03:WA43と同株","立枯","番号張替","20080225",20141122,0,1,0,0,0,0
0,20,"WA43","WA41",7.2,9.8,"ヤブツバキ",19.7,NA,NA,"03:WA41と同株","立枯",NA,"20080225",20141122,0,1,0,0,0,0
0,30,"WA49","WA49",1.3,1.4,"サカキ",28.1,28.7,NA,"08:G03正しい","G14再測定正しい、G08ミス修正済","gbh07記録ミス修正","20080225",20141122,0,0,0,0,0,0
0,30,"WA54","WA54",3.2,2.3,"ヤブツバキ",30.8,31.2,NA,"03:ツルなし",NA,NA,"20080225",20141122,0,0,0,0,0,0
0,30,"WA55","WA55",6.1,3.8,"ウラジロガシ",68.7,71.7,NA,NA,NA,NA,"20080225",20141122,0,0,0,0,0,0
0,30,"YA217","WA52",2.8,3.9,"ウラジロガシ",34,34.9,NA,NA,NA,"番号張替","20080225",20141122,0,0,0,0,0,0
0,30,"WA53","WA53",3.3,4.3,"モミ",256.9,267.8,NA,NA,NA,NA,"20080225",20141122,0,0,0,0,0,0
0,30,"YA219","WA50",1,4.3,"ヤブツバキ",30.4,30.2,NA,"08:G03測定ミス修正済",NA,"番号張替","20080225",20141122,0,0,0,0,0,0
0,30,"YA216","WA58",7.1,4.8,"ウラジロガシ",36.7,36.4,NA,"03:ツルなし",NA,"番号張替","20080225",20141122,0,0,0,0,0,0
0,30,"YA218","WA51",1.8,5.2,"ヤブツバキ",22.2,22.3,NA,NA,NA,"番号張替","20080225",20141122,0,0,0,0,0,0
0,30,"WA56","WA56",6.8,5.6,"ウラジロガシ",94.3,94.2,NA,NA,NA,NA,"20080225",20141122,0,0,0,0,0,0
0,30,"WA57","WA57",7.8,5.9,"ツクバネガシ",61.7,62.5,NA,NA,NA,NA,"20080225",20141122,0,0,0,0,0,0
0,40,"WA64","WA64",5.4,0.7,"サカキ",29.2,29.4,NA,NA,NA,NA,"20080225",20141122,0,0,0,0,0,0
0,40,"WA62","WA62",8.6,2.8,"サカキ",20.1,20.1,NA,"03:WA63の分枝",NA,NA,"20080225",20141122,0,0,0,0,0,0
0,40,"WA63","WA62",8.6,2.8,"サカキ",47.5,48.1,NA,"03:WA62と同株",NA,NA,"20080225",20141122,0,0,0,0,0,0
0,40,"YA221","WA71",7.5,3.8,"モミ",167.4,168.8,NA,NA,NA,"番号張替","20080225",20141122,0,0,0,0,0,0
0,40,"YA220","WA66",3.7,4.4,"ヤブツバキ",55.5,56.2,NA,"08:G03測定ミス",NA,"番号張替","20080225",20141122,0,0,0,0,0,0
0,40,"WA67","WA67",2.2,6.5,"サカキ",64.4,65.9,NA,NA,NA,NA,"20080225",20141122,0,0,0,0,0,0
0,40,"WA68","WA68",4.3,7.3,"イタヤカエデ",317.4,318.9,NA,NA,NA,NA,"20080225",20141122,0,0,0,0,0,0
0,40,"WA70","WA70",6.1,7.3,"サカキ",43.5,44.1,NA,"08:G03測定ミス",NA,NA,"20080225",20141122,0,0,0,0,0,0
0,40,"B_204","WA69",5.7,8.8,"ヒイラギ",26.8,27,NA,NA,NA,"番号張替","20080225",20141122,0,0,0,0,0,0
0,50,"WA75","WA75",1.5,0.2,"ウラジロガシ",188,195.6,NA,"03:根上がり木",NA,NA,"20080225",20141122,0,0,0,0,0,0
0,50,"B_202","WA76",0,0.8,"カゴノキ",26.1,28,NA,NA,NA,"番号張替","20080225",20141122,0,0,0,0,0,0
0,50,"WA73","WA73",7.6,1.2,"モミ",47,48.7,NA,NA,NA,NA,"20080225",20141122,0,0,0,0,0,0
0,50,"YA222","WA74",3.8,2.9,"モミ",35.4,35.4,NA,NA,NA,"番号張替","20080225",20141122,0,0,0,0,0,0
0,50,"YA223","WA77",0.1,6.7,"ヤブツバキ",47,46.3,NA,"03:WA78と同株",NA,"番号張替","20080225",20141122,0,0,0,0,0,0
0,50,"YA224","WA77",0.1,6.7,"ヤブツバキ",54,52.7,NA,"03:WA77と同株",NA,"番号張替","20080225",20141122,0,0,0,0,0,0
0,50,"B_201","WA79",6,6.9,"イヌガシ",22,22.5,NA,NA,NA,"番号張替","20080225",20141122,0,0,0,0,0,0
0,50,"B_203","WA160",9.9,7.2,"ムクロジ",27,NA,NA,NA,"立枯","番号張替","20080225",20141122,0,1,0,0,0,0
0,50,"WA80","WA80",7.1,8,"モミ",80.7,80.8,NA,NA,NA,NA,"20080225",20141122,0,0,0,0,0,0
0,50,"WA82","WA82",5.6,8.3,"ウラジロガシ",85.4,87.7,NA,"03:H=85",NA,NA,"20080225",20141122,0,0,0,0,0,0
0,50,"YA225","WA81",5.5,8.9,"イヌガシ",28.3,29.6,NA,NA,NA,"番号張替","20080225",20141122,0,0,0,0,0,0
0,60,"WA83","WA83",2.9,1.6,"モミ",140.6,146.6,NA,NA,NA,NA,"20080225",20141122,0,0,0,0,0,0
0,60,"WA85","WA85",3.3,4.1,"ウラジロガシ",28.1,NA,NA,"03:WA86と同株","立枯",NA,"20080225",20141122,0,1,0,0,0,0
0,70,"YA226","WA727",9.8,1.7,"ヤブツバキ",41.9,42.2,NA,NA,NA,"番号張替","20080225",20141122,0,0,0,0,0,0
0,70,"B_199","YE853",9.7,2.2,"ウラジロガシ",161.7,NA,NA,"03:H=90 主幹折れ枝生","幹折れ","番号張替","20080225",20141122,0,1,0,0,0,0
0,70,"YA229","WA87",3,6,"サカキ",49,48.5,NA,NA,NA,"番号張替","20080225",20141122,0,0,0,0,0,0
0,70,"WA88-1","WA88-1",6.7,6.8,"キハダ",220.6,223.4,NA,"番号修正必要（WA88のみでOK？）","WA88でOK確認済",NA,"20080225",20141122,0,0,0,0,0,0
0,70,"B_198","WA88-2",7.1,7.5,"トチノキ",22.7,NA,NA,"03:D=6.85","立枯","番号張替","20080225",20141122,0,1,0,0,0,0
0,70,"B_200","WA91",8.5,9.7,"トチノキ",37.1,NA,NA,NA,"立枯","番号張替","20080225",20141122,0,1,0,0,0,0
0,80,"WA89","WA89",2.8,1.1,"ウラジロガシ",73.5,72.1,NA,NA,NA,NA,"20080225",20141122,0,0,0,0,0,0
0,80,"YA231","WA93",5.2,1.2,"サカキ",22.2,24.5,NA,NA,NA,"番号張替","20080225",20141122,0,0,0,0,0,0
0,80,"WA92","WA92",6.6,1.4,"ヒメシャラ",21.8,NA,NA,NA,"立枯",NA,"20080225",20141122,0,1,0,0,0,0
0,80,"YA230","WA90",0,1.6,"ヤブツバキ",35.1,34.7,NA,NA,NA,"番号張替","20080225",20141122,0,0,0,0,0,0
0,80,"YA233","WA804",9.9,1.8,"ヒメシャラ",17.9,17.4,NA,NA,NA,"番号張替","20080225",20141122,0,0,0,0,0,0
0,80,"WA94","WA94",1.1,3,"ヒメシャラ",21.5,22,NA,NA,NA,NA,"20080225",20141122,0,0,0,0,0,0
0,80,"WA820","WA820",0,3.9,"ヤブツバキ",19.4,NA,NA,NA,"立枯",NA,"20080225",20141122,0,1,0,0,0,0
0,80,"WA821","WA821",6,6.1,"ツクバネガシ",22,23.3,NA,NA,NA,NA,"20080225",20141122,0,0,0,0,0,0
0,80,"WA822","WA822",5.2,7.5,"ツクバネガシ",19.9,21.3,NA,NA,"幹折れ",NA,"20080225",20141122,0,0,0,0,0,0
0,80,"WA728","WA728",2.7,8.4,"ツガ",199.5,206.4,NA,NA,NA,NA,"20080225",20141122,0,0,0,0,0,0
0,80,"WA734","WA734",9,8.6,"ツクバネガシ",18.4,NA,NA,NA,"消失不明",NA,"20080225",20141122,0,1,0,0,0,0
0,80,"YA232","WA729",5.7,9.1,"サカキ",22.4,23.6,NA,NA,NA,"番号張替","20080225",20141122,0,0,0,0,0,0
0,80,"B_196","WA730",6.6,9.1,"ウラジロガシ",240,232.9,"03GBHミス","08:03GBHミス","G03,G08,G14測定ミス、未確認","番号張替","20080225",20141122,0,0,0,0,0,0
0,90,"WA823","WA823",2.6,0.2,"サカキ",17.4,17.4,NA,NA,NA,NA,"20080225",20141122,0,0,0,0,0,0
0,90,"B_195","WA824",3.2,0.9,"ツクバネガシ",96.5,94.7,"幹折れ生存","08:幹折れ生存","ちじむ","番号張替","20080225",20141122,0,0,0,0,0,0
0,90,"WA825","WA825",0.7,1,"サカキ",24.9,NA,NA,NA,"倒木巻き込まれ",NA,"20080225",20141122,0,1,0,0,0,0
0,90,"WA828","WA828",6.4,1.5,"ツクバネガシ",24.9,28,NA,NA,NA,NA,"20080225",20141122,0,0,0,0,0,0
0,90,"B_194","WA826",3.5,4.6,"サカキ",29.3,32.1,NA,NA,NA,"番号張替","20080225",20141122,0,0,0,0,0,0
0,90,"WA829","WA829",9.2,4.9,"ツクバネガシ",30.3,34.3,NA,NA,NA,NA,"20080225",20141122,0,0,0,0,0,0
0,90,"YA235","B_192",5.7,4.9,"サカキ",20.4,20.8,NA,NA,NA,"番号張替","20080225",20141122,0,0,0,0,0,0
0,90,"YA236","WA830",8.2,6.1,"イヌガシ",18,21,NA,NA,NA,"番号張替","20080225",20141122,0,0,0,0,0,0
0,90,"YA322","WA831",6.1,6.1,"ミズメ",185,188,NA,NA,NA,"番号張替","20080225",20141122,0,0,0,0,0,0
0,90,"WA731","WA731",1.4,7.9,"ツクバネガシ",36.6,NA,NA,NA,"倒木巻き込まれ",NA,"20080225",20141122,0,1,0,0,0,0
0,90,"WA732","WA732",2.6,8.5,"サカキ",21.3,NA,NA,NA,"倒木巻き込まれ",NA,"20080225",20141122,0,1,0,0,0,0
0,90,"YA237","WA733",6.8,9.6,"サカキ",41.9,40.6,NA,NA,NA,"番号張替","20080225",20141122,0,0,0,0,0,0
10,0,"WA101","WA101",0.1,0.1,"ウラジロガシ",32.8,NA,NA,"03:-40, -10の位置","立枯",NA,"20080226",20141122,0,1,0,0,0,0
10,0,"WA99","WA99",4.2,3.3,"ヤブツバキ",36.5,37.3,NA,"03:落枝の下敷き",NA,NA,"20080226",20141122,0,0,0,0,0,0
10,0,"WA102","WA102",7.4,5.2,"ヤブツバキ",29,30.1,NA,NA,NA,NA,"20080226",20141122,0,0,0,0,0,0
10,0,"WA98","WA98",5.1,6.2,"ウラジロガシ",51.6,NA,NA,NA,"幹折れ",NA,"20080226",20141122,0,1,0,0,0,0
10,0,"WA97","WA97",2.8,6.6,"ツクバネガシ",52.2,52.7,NA,NA,NA,NA,"20080226",20141122,0,0,0,0,0,0
10,0,"WA95","WA95",2.1,7.2,"サカキ",68,70.5,NA,NA,NA,NA,"20080226",20141122,0,0,0,0,0,0
10,0,"YA251","WA112",5.2,7.7,"ヤブツバキ",20.9,25.3,NA,NA,NA,"番号張替","20080226",20141122,0,0,0,0,0,0
10,0,"WA108","WA108",9.8,9.9,"サカキ",29.6,30,NA,"03:コブ上測定　 幹折れ幹の下敷き","かろうじて生存",NA,"20080226",20141122,0,0,0,0,0,0
10,10,"B_223","WA107",9.5,0.1,"サカキ",57.5,NA,NA,NA,"幹折れ","番号張替","20080226",20141122,0,1,0,0,0,0
10,10,"WA111","WA111",2.2,0.7,"ツクバネガシ",20,20.5,NA,NA,NA,NA,"20080226",20141122,0,0,0,0,0,0
10,10,"WA110","WA110",5.9,1.2,"サカキ",24.5,NA,NA,NA,"消失不明",NA,"20080226",20141122,0,1,0,0,0,0
10,10,"WA173","WA173",6.7,2.9,"ウラジロガシ",16.5,17,NA,"03:WA174の萌芽",NA,NA,"20080226",20141122,0,0,0,0,0,0
10,10,"YA252","WA168",9.6,3,"ヤブツバキ",34,35,NA,NA,NA,"番号張替","20080226",20141122,0,0,0,0,0,0
10,10,"WA113","WA113",5.4,3.7,"カゴノキ",173,175,NA,NA,NA,NA,"20080226",20141122,0,0,0,0,0,0
10,10,"WA114","WA114",3.1,4.3,"ヤブツバキ",65.9,65.2,NA,NA,"前回測定ミス",NA,"20080226",20141122,0,0,0,0,0,0
10,10,"WA115","WA115",2.7,6.2,"サカキ",72.1,72.5,NA,NA,NA,NA,"20080226",20141122,0,0,0,0,0,0
10,10,"YA253","WA126",7.7,6.5,"ツクバネガシ",20.5,20.8,NA,NA,NA,"番号張替","20080226",20141122,0,0,0,0,0,0
10,10,"WA125","WA125",8.3,9.2,"ケヤキ",90,106.4,NA,NA,"成長よい",NA,"20080226",20141122,0,0,0,0,0,0
10,10,"WA122","WA122",0.9,9.8,"ヤブツバキ",24.9,25.5,NA,"03:集中分布",NA,NA,"20080226",20141122,0,0,0,0,0,0
10,20,"WA124","WA124",6.9,0.1,"ヤブツバキ",20.6,21,NA,"03:集中分布",NA,NA,"20080226",20141122,0,0,0,0,0,0
10,20,"WA123","WA123",4.6,0.7,"ヤブツバキ",49.2,50,NA,"03:H=125コブなし　集中分布",NA,NA,"20080226",20141122,0,0,0,0,0,0
10,20,"B_260","WA127",4,1.5,"ヤブツバキ",35.6,35.4,NA,NA,NA,"番号張替","20080226",20141122,0,0,0,0,0,0
10,20,"YA254","WA47",0.3,2.9,"サカキ",30.2,32,NA,NA,NA,"番号張替","20080226",20141122,0,0,0,0,0,0
10,20,"YA255","WA48",0,3.1,"イヌガシ",44.6,48,NA,NA,"樹種修正済","番号張替，樹種訂正","20080226",20141122,0,0,0,0,0,0
10,20,"WA130","WA130",7.9,4.1,"ヤブツバキ",61.1,64.4,NA,NA,NA,NA,"20080226",20141122,0,0,0,0,0,0
10,20,"WA46","WA45",0.6,5.4,"ツクバネガシ",45.4,58,NA,"03:WA45と同株","幹割れのため肥大",NA,"20080226",20141122,0,0,0,0,0,0
10,20,"B_259","WA140",3.3,8,"ヤブツバキ",20.2,23.6,NA,NA,NA,"番号張替","20080226",20141122,0,0,0,0,0,0
10,20,"WA42","WA42",0.8,8.7,"サカキ",57.5,58.5,NA,"03:先折れ",NA,NA,"20080226",20141122,0,0,0,0,0,0
10,20,"B_258","WA134",7.6,9,"ムクロジ",52,NA,NA,NA,"立枯,No08記載漏れ修正済","番号張替","20080226",20141122,0,1,0,0,0,0
10,20,"YB256","WA135",7.8,9.5,"ヒメシャラ",36.7,40,NA,NA,NA,"番号張替","20080226",20141122,0,0,0,0,0,0
10,20,"YB257","WA139",4.1,9.7,"イヌガシ",25.6,26.7,NA,NA,NA,"番号張替","20080226",20141122,0,0,0,0,0,0
10,30,"B_255","WA143",4.4,0.9,"ヤブツバキ",17,18.2,NA,NA,"落枝で折れる","番号張替","20080226",20141122,0,0,0,0,0,0
10,30,"B_256","WA141",0.8,1.5,"ツクバネガシ",26.4,30.6,NA,"03:WA142と同株","皮はぎ","番号張替","20080226",20141122,0,0,0,0,0,0
10,30,"YB258","WA141",0.8,1.5,"ツクバネガシ",45.6,55,NA,"03:WA141と同株",NA,"番号張替","20080226",20141122,0,0,0,0,0,0
10,30,"B_253","WA188",7.8,5.1,"ヤブツバキ",17,18.4,NA,NA,NA,"番号張替","20080226",20141122,0,0,0,0,0,0
10,30,"B_254","WA188",7.8,5.1,"ヤブツバキ",17.9,NA,NA,"03:WA188と同株","落枝下敷き","番号張替","20080226",20141122,0,1,0,0,0,0
10,30,"B_251","WA183",9,8,"チドリノキ",39.6,38.8,NA,NA,NA,"番号張替","20080226",20141122,0,0,0,0,0,0
10,30,"WA184","WA183",9,8,"チドリノキ",30,29.8,NA,NA,"枯れかけ",NA,"20080226",20141122,0,0,0,0,0,0
10,30,"WA185","WA183",9,8,"チドリノキ",48.5,NA,NA,NA,"幹折れ",NA,"20080226",20141122,0,1,0,0,0,0
10,30,"WA186","WA183",9,8,"チドリノキ",41.1,41.1,NA,NA,NA,NA,"20080226",20141122,0,0,0,0,0,0
10,30,"WA187","WA183",9,8,"チドリノキ",26.5,27.2,NA,NA,NA,NA,"20080226",20141122,0,0,0,0,0,0
10,30,"YB259","WA145",4.4,8.1,"ユズリハ",68.9,72.5,NA,NA,"成長よい、上の線から測定","番号張替","20080226",20141122,0,0,0,0,0,0
10,30,"YB260","WA147",6.7,8.6,"ムクロジ",82.7,88.5,NA,NA,"成長よい","番号張替","20080226",20141122,0,0,0,0,0,0
10,40,"B_248","WA149",1.7,0.9,"ウラジロガシ",25.2,NA,NA,NA,"根返り","番号張替","20080226",20141122,0,1,0,0,0,0
10,40,"B_249","WA148",3.8,1.9,"イヌガシ",29.8,30.5,NA,NA,NA,"番号張替","20080226",20141122,0,0,0,0,0,0
10,40,"B_247","WA150",1.8,8.2,"モミ",26.7,27.4,NA,NA,NA,"番号張替","20080226",20141122,0,0,0,0,0,0
10,40,"YA261","WA151",3.7,9.7,"イヌガヤ",22.5,22.8,NA,"03:WA152と同株",NA,"番号張替","20080226",20141122,0,0,0,0,0,0
10,40,"YA262","WA151",3.7,9.7,"イヌガヤ",29.5,30.5,NA,"03:WA151と同株",NA,"番号張替","20080226",20141122,0,0,0,0,0,0
10,50,"B_246","WA153",6.4,0.2,"チドリノキ",42.8,42.8,NA,"03:H=140 WA153-156同株",NA,"番号張替","20080226",20141123,0,0,0,0,0,0
10,50,"YA339","WA153",6.4,0.2,"チドリノキ",32.7,31.8,NA,"03:H=140 WA153-156同株","前回測定ミス","番号張替","20080226",20141123,0,0,0,0,0,0
10,50,"WA155","WA153",6.4,0.2,"チドリノキ",22.4,22.4,NA,"03:WA153-156同株",NA,NA,"20080226",20141123,0,0,0,0,0,0
